Participant_id	Melody	Singing voice	Rhythm	Lyrics	Mood	Tempo	Harmony	Sentiment	Instruments	Danceability
143	4	5	2	3	5	4	3	5	3	2
144	5	5	3	5	5	3	3	5	1	1
145	5	4	5	4	5	3	3	2	3	2
146	4	5	3	1	1	3	1	4	1	1
147	4	5	4	5	5	4	4	3	5	3
148	5	5	4	3	4	4	4	3	4	2
149	3	3	3	4	3	3	3	3	3	3
150	5	5	5	5	5	5	4	5	4	1
151	5	5	4	4	4	3	2	4	2	3
152	4	5	3	3	4	2	4	3	3	3
153	4	5	4	5	2	4	4	2	2	4
154	5	5	5	1	1	4	3	3	3	1
155	4	3	3	2	3	3	2	1	1	2
156	5	5	4	3	3	2	5	3	4	2
157	5	4	4	5	4	3	4	2	1	2
158	5	4	4	2	4	3	3	3	2	2
159	3	3	4	2	3	3	3	3	2	5
160	3	4	2	4	1	1	3	2	1	2
161	3	5	3	2	2	3	5	2	3	1
162	3	4	3	4	5	3	3	4	1	1
163	5	5	5	5	5	5	5	5	5	4
164	3	4	4	3	3	4	3	2	3	2
165	5	4	4	5	5	3	4	3	1	1
166	4	5	3	2	4	4	2	3	2	2
167	5	5	2	3	5	2	2	4	1	2
168	5	5	5	3	5	3	4	4	1	1
169	5	4	3	3	4	3	3	4	2	1
170	4	3	4	5	2	3	2	2	2	2
171	5	5	4	5	2	2	3	2	3	2
172	5	5	1	2	3	2	3	4	2	3
173	1	1	1	5	1	5	1	1	2	5
174	5	5	4	4	2	2	5	3	4	4
175	3	3	3	4	4	3	3	3	3	2
176	3	4	5	3	5	3	4	4	5	5
177	5	3	2	3	3	2	3	2	2	1
178	3	3	3	2	1	3	3	2	3	1
179	5	5	5	5	5	5	5	5	3	3
180	5	5	4	5	4	4	4	2	4	2
181	4	4	4	3	1	3	3	4	3	3
182	5	5	5	3	3	5	5	1	1	1
183	4	5	3	3	1	3	5	1	3	1
184	3	2	3	3	3	2	4	5	4	2
185	5	3	3	2	3	3	4	3	2	1
186	5	5	4	4	5	4	4	3	3	3
187	2	2	2	2	2	2	2	2	1	2
188	5	5	5	2	1	4	1	1	2	1
189	5	5	4	5	3	5	1	2	5	3
190	5	5	3	5	2	3	2	2	3	4
191	5	5	5	1	5	5	2	5	2	5
192	4	4	3	3	3	3	2	3	2	2
193	3	4	3	4	4	4	3	3	3	2
194	5	4	4	4	3	4	2	1	1	1
195	5	5	4	3	5	5	3	5	2	2
196	5	4	3	4	2	3	4	3	2	3
197	3	3	2	3	3	1	2	2	3	1
198	5	5	5	5	5	5	5	5	5	2
199	5	4	5	3	3	3	2	3	2	2
200	4	4	4	2	3	4	3	3	3	4
201	4	4	4	4	4	4	3	3	5	3
202	5	4	3	5	4	5	5	3	3	5
203	5	2	1	4	5	1	1	1	1	1
204	5	4	4	3	3	4	4	3	4	4
205	4	4	4	3	3	4	2	2	4	1
206	4	4	3	4	4	4	2	3	4	1
207	5	5	5	3	3	4	5	1	4	2
208	5	5	5	4	5	5	4	5	3	1
209	5	5	4	4	4	4	4	3	2	2
210	1	5	5	5	1	2	1	1	1	1
211	2	5	2	4	1	3	2	2	2	2
212	5	5	5	5	3	4	4	3	4	2
213	4	4	2	4	4	2	2	2	2	1
214	5	5	2	2	4	2	2	4	3	2
215	3	4	4	5	5	2	4	4	4	1
